"plotcode","country","surveydate1","surveydate2","longitude_generalised","latitude_generalised","management2"
"834568108830","Sweden","2003-05-13 00:00:00","2008-07-10 00:00:00",14.8129773796809,57.6169845318571,0
"834568208830","Sweden","2003-05-13 00:00:00","2008-07-10 00:00:00",14.8079907869205,57.5920599949442,1
"834568308830","Sweden","2003-05-13 00:00:00","2008-07-10 00:00:00",14.793429731391,57.5840905912742,0
"834568404830","Sweden","2003-05-13 00:00:00","2008-07-10 00:00:00",14.8140413779862,57.598767611014,0
"834568408032","Sweden","2003-05-13 00:00:00","2008-07-10 00:00:00",14.8182519178683,57.5881045322431,1
"834569108831","Sweden","2003-07-14 00:00:00","2008-05-23 00:00:00",14.6734165925358,57.6309287681869,0
"834569108832","Sweden","2003-07-14 00:00:00","2008-05-23 00:00:00",14.6848294804497,57.6557926246049,0
"834569204830","Sweden","2003-07-14 00:00:00","2008-05-23 00:00:00",14.6639876534196,57.6480488873205,1
"834569208830","Sweden","2003-07-14 00:00:00","2008-05-23 00:00:00",14.6240722635288,57.6253585228448,1
"834569308830","Sweden","2003-07-14 00:00:00","2008-05-23 00:00:00",14.635268733879,57.6410819301207,1
"834569404830","Sweden","2003-07-14 00:00:00","2008-05-23 00:00:00",14.6664738206329,57.6359806022665,1
"834569408830","Sweden","2003-07-14 00:00:00","2008-05-23 00:00:00",14.6187328199637,57.6415693771122,1
"834570208930","Sweden","2003-09-22 00:00:00","2008-07-14 00:00:00",14.4775669129281,57.6713091083066,1
"834570304830","Sweden","2003-09-22 00:00:00","2008-07-14 00:00:00",14.4919959919429,57.6760858393398,0
"834570308830","Sweden","2003-09-22 00:00:00","2008-07-14 00:00:00",14.4656140715054,57.6764650305992,1
"834570404930","Sweden","2003-09-22 00:00:00","2008-07-14 00:00:00",14.4888915859296,57.6984115799432,0
"834570408830","Sweden","2003-09-22 00:00:00","2008-07-14 00:00:00",14.489450578303,57.680636279861,1
"834572104830","Sweden","2003-05-21 00:00:00","2008-06-24 00:00:00",15.4922027223727,57.4400623017886,0
"834572108830","Sweden","2003-05-21 00:00:00","2008-06-24 00:00:00",15.4959102815265,57.4115612036426,0
"834572204830","Sweden","2003-05-21 00:00:00","2008-06-24 00:00:00",15.5017061009704,57.4193483163363,0
"834572208830","Sweden","2003-05-21 00:00:00","2008-06-24 00:00:00",15.4945776945945,57.4095087814214,0
"834572304831","Sweden","2003-05-21 00:00:00","2008-06-24 00:00:00",15.4772546323708,57.4141361412223,0
"834572304832","Sweden","2003-05-21 00:00:00","2008-06-24 00:00:00",15.4754159548851,57.4201960692582,1
"834572308830","Sweden","2003-05-21 00:00:00","2008-06-24 00:00:00",15.4802273646845,57.4094871843101,1
"834572404830","Sweden","2003-05-21 00:00:00","2008-06-24 00:00:00",15.4567335073501,57.4210011541072,0
"834572408830","Sweden","2003-05-21 00:00:00","2008-06-24 00:00:00",15.4675760780596,57.4216329198317,0
"834573104830","Sweden","2003-05-28 00:00:00","2008-05-22 00:00:00",15.1273211595139,57.523796393721,0
